Code,Continent,Continent 1,Country,Group,Col,Hex Col,Hex Row,Number of Records,Row
ESH,Africa,Africa,Western Sahara,Africa,11,11,13.5,1,14
CVD,Africa,Africa,Cabo Verde,Africa,11,11,15.5,1,16
MAU,Africa,Africa,Mauritania,Africa,12,12,13,1,13
GUB,Africa,Africa,Guinea-Bissau,Africa,12,12,14,1,14
GUI,Africa,Africa,Guinea,Africa,12,12,15,1,15
STP,Africa,Africa,São Tomé and Príncipe,Africa,12,12,17,1,17
MOR,Africa,Africa,Morocco,Africa,13,13,11.5,1,12
GAM,Africa,Africa,Gambia,Africa,13,13,12.5,1,13
SIE,Africa,Africa,Sierra Leone,Africa,13,13,13.5,1,14
LIB,Africa,Africa,Liberia,Africa,13,13,14.5,1,15
CIV,Africa,Africa,Cote d'Ivoire,Africa,13,13,15.5,1,16
ALG,Africa,Africa,Algeria,Africa,14,14,11,1,12
SEN,Africa,Africa,Senegal,Africa,14,14,12,1,13
BKF,Africa,Africa,Burkina Faso,Africa,14,14,13,1,14
GHA,Africa,Africa,Ghana,Africa,14,14,14,1,15
NGR,Africa,Africa,Nigeria,Africa,14,14,15,1,16
EQG,Africa,Africa,Equatorial Guinea,Africa,14,14,16,1,17
ANG,Africa,Africa,Angola,Africa,14,14,17,1,18
TUN,Africa,Africa,Tunisia,Africa,15,15,11.5,1,12
MLI,Africa,Africa,Mali,Africa,15,15,12.5,1,13
CHA,Africa,Africa,Chad,Africa,15,15,13.5,1,14
TOG,Africa,Africa,Togo,Africa,15,15,14.5,1,15
CAM,Africa,Africa,Cameroon,Africa,15,15,15.5,1,16
CON,Africa,Africa,"Congo, Republic of the (Congo-Brazzaville)",Africa,15,15,16.5,1,17
GAB,Africa,Africa,Gabon (Gabonese Republic),Africa,15,15,17.5,1,18
ZAM,Africa,Africa,Zambia,Africa,15,15,18.5,1,19
LBY,Africa,Africa,Libya,Africa,16,16,11,1,12
NIG,Africa,Africa,Niger,Africa,16,16,12,1,13
SSU,Africa,Africa,South Sudan,Africa,16,16,13,1,14
BEN,Africa,Africa,Benin,Africa,16,16,14,1,15
DRC,Africa,Africa,"Congo, Democratic Republic of the (Congo-Kinshasa)",Africa,16,16,15,1,16
BUR,Africa,Africa,Burundi,Africa,16,16,16,1,17
MLW,Africa,Africa,Malawi,Africa,16,16,17,1,18
BOT,Africa,Africa,Botswana,Africa,16,16,18,1,19
NAM,Africa,Africa,Namibia,Africa,16,16,19,1,20
EGY,Africa,Africa,Egypt,Africa,17,17,11.5,1,12
SUD,Africa,Africa,Sudan,Africa,17,17,12.5,1,13
ERI,Africa,Africa,Eritrea,Africa,17,17,13.5,1,14
CAR,Africa,Africa,Central African Republic,Africa,17,17,14.5,1,15
UGA,Africa,Africa,Uganda,Africa,17,17,15.5,1,16
RWA,Africa,Africa,Rwanda,Africa,17,17,16.5,1,17
MOZ,Africa,Africa,Mozambique,Africa,17,17,17.5,1,18
ZIM,Africa,Africa,Zimbabwe,Africa,17,17,18.5,1,19
SWZ,Africa,Africa,Eswatini,Africa,17,17,19.5,1,20
RSA,Africa,Africa,South Africa,Africa,17,17,20.5,1,21
DJI,Africa,Africa,Djibouti,Africa,18,18,13,1,14
ETH,Africa,Africa,Ethiopia,Africa,18,18,14,1,15
KEN,Africa,Africa,Kenya,Africa,18,18,15,1,16
TAN,Africa,Africa,Tanzania,Africa,18,18,16,1,17
LES,Africa,Africa,Lesotho,Africa,18,18,20,1,20
SOM,Africa,Africa,Somalia,Africa,19,19,14.5,1,15
CMR,Africa,Africa,Comoros,Africa,19,19,17.5,1,18
MYT,Africa,Africa,Mayotte,Africa,19,19,18.5,1,19
SEY,Africa,Africa,Seychelles,Africa,20,20,17,1,18
MAD,Africa,Africa,Madagascar,Africa,20,20,19,1,20
REU,Africa,Africa,Réunion,Africa,20,20,20,1,21
MRI,Africa,Africa,Mauritius,Africa,21,21,19.5,1,20
BHM,Caribbean,North America,Bahamas,America,5,5,2.5,1,3
CUB,Caribbean,North America,Cuba,America,5,5,3.5,1,4
JAM,Caribbean,North America,Jamaica,America,5,5,4.5,1,5
HAI,Caribbean,North America,Haiti,America,6,6,5,1,5
DOM,Caribbean,North America,Dominican Republic,America,7,7,4.5,1,5
SKN,Caribbean,North America,Saint Kitts and Nevis,America,7,7,5.5,1,6
ANT,Caribbean,North America,Antigua and Barbuda,America,8,8,5,1,5
STL,Caribbean,North America,Saint Lucia,America,8,8,6,1,6
SVG,Caribbean,North America,Saint Vincent and the Grenadines,America,8,8,7,1,7
DMN,Caribbean,North America,Dominica,America,8,8,8,1,8
GRN,Caribbean,North America,Grenada,America,8,8,9,1,9
TTO,Caribbean,North America,Trinidad and Tobago,America,8,8,10,1,10
BAR,Caribbean,North America,Barbados,America,9,9,6.5,1,7
GUA,Central America,North America,Guatemala,America,2,2,5,1,5
ELS,Central America,North America,El Salvador,America,2,2,6,1,6
BLZ,Central America,North America,Belize,America,3,3,6.5,1,4
HON,Central America,North America,Honduras,America,3,3,7.5,1,6
NIC,Central America,North America,Nicaragua,America,3,3,8.5,1,7
CRC,Central America,North America,Costa Rica,America,4,4,9,1,8
PAN,Central America,North America,Panama,America,5,5,9.5,1,9
UZB,Central Asia,Asia,Uzbekistan,Asia,23,23,6.5,1,7
TKM,Central Asia,Asia,Turkmenistan,Asia,23,23,7.5,1,8
KYR,Central Asia,Asia,Kyrgyzstan,Asia,24,24,7,1,7
TAJ,Central Asia,Asia,Tajikistan,Asia,24,24,8,1,8
KAZ,Central Asia,Asia,Kazakhstan,Asia,24,24,6,1,6
